profile,seed,n,selectivity,policy_complexity,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,authorized_rows,range_rows,tree_build_ms,semantic_checked
dashboard_sales,1723,3000,0.2,3,56226,4.895504,3.155291,0.1794,65,603,126.969565,True
dashboard_sales,1723,3000,0.02,5,21094,2.403775,1.090846,0.159659,8,66,126.969565,True
dashboard_sales,1723,3000,0.05,5,37112,2.92687,1.787626,0.09108,23,154,126.969565,True
dashboard_sales,1723,3000,0.1,5,65702,4.617791,2.91465,0.109127,47,305,126.969565,True
dashboard_sales,1723,3000,0.2,5,83390,5.161615,3.059818,0.182092,111,599,126.969565,True
dashboard_sales,1759,3000,0.02,1,21221,2.61278,1.367245,0.153517,2,61,129.520932,True
dashboard_sales,1759,3000,0.05,1,36567,2.815252,1.608472,0.083782,2,166,129.520932,True
dashboard_sales,1759,3000,0.1,1,64422,4.144304,2.463458,0.081889,13,311,129.520932,True
dashboard_sales,1759,3000,0.2,1,84887,6.084693,3.247855,0.158795,19,605,129.520932,True
dashboard_sales,1759,3000,0.02,3,22283,3.063711,1.810023,0.164706,5,57,129.520932,True
dashboard_sales,1759,3000,0.05,3,39697,3.585077,1.96288,0.120743,24,156,129.520932,True
dashboard_sales,1759,3000,0.1,3,66810,4.681418,3.012484,0.114267,24,310,129.520932,True
dashboard_sales,1759,3000,0.2,3,86781,5.063332,3.25215,0.144182,64,618,129.520932,True
dashboard_sales,1759,3000,0.02,5,22438,2.293997,1.276642,0.175621,11,71,129.520932,True
dashboard_sales,1759,3000,0.05,5,37093,3.458929,2.205957,0.108144,23,147,129.520932,True
dashboard_sales,1759,3000,0.1,5,39713,3.87929,2.400278,0.113469,49,328,129.520932,True
dashboard_sales,1759,3000,0.2,5,58203,4.962706,3.109028,0.137405,91,616,129.520932,True
dashboard_sales,1789,3000,0.02,1,23561,2.466908,1.322939,0.166175,4,74,175.799158,True
dashboard_sales,1789,3000,0.05,1,39200,6.499064,2.138652,0.153543,5,147,175.799158,True
dashboard_sales,1789,3000,0.1,1,60933,4.643351,2.735367,0.107494,9,277,175.799158,True
dashboard_sales,1789,3000,0.2,1,89023,5.781159,3.587404,0.124905,20,618,175.799158,True
dashboard_sales,1789,3000,0.02,3,21820,2.831136,1.71365,0.182097,4,54,175.799158,True
dashboard_sales,1789,3000,0.05,3,35106,3.153255,1.862436,0.09814,18,140,175.799158,True
dashboard_sales,1789,3000,0.1,3,63548,4.215293,2.571896,0.117278,28,299,175.799158,True
dashboard_sales,1789,3000,0.2,3,58108,4.858782,2.954259,0.192875,63,627,175.799158,True
dashboard_sales,1789,3000,0.02,5,15998,1.76087,0.767013,0.17983,11,64,175.799158,True
dashboard_sales,1789,3000,0.05,5,42323,4.16239,2.475745,0.095452,28,164,175.799158,True
dashboard_sales,1789,3000,0.1,5,65786,4.186059,2.483854,0.105942,55,312,175.799158,True
dashboard_sales,1789,3000,0.2,5,79732,4.843804,3.01936,0.153583,95,582,175.799158,True
tpch_lineitem_like,1701,3000,0.02,1,25065,2.566028,1.513788,0.148517,2,78,123.336459,True
tpch_lineitem_like,1701,3000,0.05,1,25684,2.217718,1.177145,0.059134,3,101,123.336459,True
tpch_lineitem_like,1701,3000,0.1,1,47485,4.173765,2.551158,0.083781,6,374,123.336459,True
tpch_lineitem_like,1701,3000,0.2,1,75679,5.001371,3.258422,0.091462,10,534,123.336459,True
tpch_lineitem_like,1701,3000,0.02,3,26953,3.078606,1.950577,0.185252,18,84,123.336459,True
tpch_lineitem_like,1701,3000,0.05,3,31437,3.475133,2.111593,0.11454,26,101,123.336459,True
tpch_lineitem_like,1701,3000,0.1,3,81505,5.040926,3.288684,0.193507,74,397,123.336459,True
tpch_lineitem_like,1701,3000,0.2,3,58795,4.571735,2.700887,0.202605,80,446,123.336459,True
tpch_lineitem_like,1701,3000,0.02,5,28617,2.738845,1.47919,0.239292,11,104,123.336459,True
tpch_lineitem_like,1701,3000,0.05,5,32326,3.44028,2.172012,0.15585,18,118,123.336459,True
tpch_lineitem_like,1701,3000,0.1,5,47637,3.909953,2.368035,0.135748,56,381,123.336459,True
tpch_lineitem_like,1701,3000,0.2,5,54499,4.310385,2.600732,0.131621,65,419,123.336459,True
